24.97	107.06	24.96	58.46	24.96	28.01
22	104.7	22.13	56.9	22.01	27.08
19.1	102.31	19.22	55.24	19.13	26.16
16.11	99.04	16.15	53.48	16.17	25.21
13.04	93.46	13.18	51.8	13.09	23.96
10.1	84.5	10.24	47.01	10.24	22.02
8.05	75.71	8.01	41.69	8.01	19.51
6.05	63.77	6.09	35.1	6.08	16.44
4.08	49.95	4.06	26.26	3.94	11.85
2.01	32.88	2.02	14.94	2.04	6.78
0.53	18.74	0.55	5.95	0.51	2.12
-0.5	-18.19	-0.55	-5.47	-0.51	-1.94
-2.06	-32.18	-2.09	-15.34	-2.04	-6.63
-4.09	-50.01	-4.03	-25.73	-4.02	-11.78
-6.03	-64.73	-6.05	-35.44	-6.25	-16.02
-8.09	-77.76	-8.19	-42.88	-8.05	-19.79
-10.14	-88.44	-10.05	-48.17	-10.07	-22.63
-13.13	-98.22	-13.15	-52.81	-13.01	-24.75
-16.16	-105.2	-16.11	-55.71	-16.06	-26.17
-19	-108.87	-19.04	-57.36	-19.2	-27.26
-22.08	-112.12	-22.18	-59.12	-22.06	-28.19
-25.01	-114.71	-24.96	-60.94	-24.95	-29.16
